time,open,high,low,close,volume
2018-06-01 12:00:00,1299.2,1299.85,1289.1,1292.25,16835
2018-06-01 16:00:00,1292.3,1298.9,1292.15,1295.35,17338
2018-06-01 20:00:00,1295.3,1295.7,1292.15,1293.25,5685
2018-06-04 00:00:00,1293.65,1294.35,1291.8,1292.85,3134
2018-06-04 04:00:00,1292.9,1293.9,1290.6,1291.35,4064
2018-06-04 08:00:00,1291.3,1294.4,1289.95,1293.55,8667
2018-06-04 12:00:00,1293.5,1297.4,1293.3,1296.6,8575
2018-06-04 16:00:00,1296.65,1297.9,1292.75,1293.35,11527
2018-06-04 20:00:00,1293.35,1293.4,1291.35,1291.75,3550
2018-06-05 00:00:00,1292.05,1292.45,1290.6,1291.15,2383
2018-06-05 04:00:00,1291.2,1292.5,1290.6,1291.45,3649
2018-06-05 08:00:00,1291.4,1293.95,1289.6,1292.55,6964
2018-06-05 12:00:00,1292.5,1293.45,1290.15,1293.2,7594
2018-06-05 16:00:00,1293.15,1300.4,1290.45,1298.35,14613
2018-06-05 20:00:00,1298.3,1299.35,1296.25,1296.45,4458
2018-06-06 00:00:00,1296.4,1297.75,1296.35,1297.4,2554
2018-06-06 04:00:00,1297.45,1298.1,1296.35,1296.55,2841
2018-06-06 08:00:00,1296.5,1299.3,1296.2,1296.8,10192
2018-06-06 12:00:00,1296.75,1298.05,1293.6,1298.0,9348
2018-06-06 16:00:00,1297.95,1301.65,1297.0,1297.45,12334
2018-06-06 20:00:00,1297.5,1298.0,1294.3,1295.9,4818
2018-06-07 00:00:00,1296.5,1298.0,1296.0,1296.0,2335
2018-06-07 04:00:00,1296.05,1297.4,1295.35,1297.15,4095
2018-06-07 08:00:00,1297.1,1299.05,1296.4,1298.05,7828
2018-06-07 12:00:00,1298.0,1303.1,1297.45,1301.35,8702
2018-06-07 16:00:00,1301.35,1301.75,1294.75,1297.45,14018
2018-06-07 20:00:00,1297.5,1299.55,1296.3,1296.65,10438
2018-06-08 00:00:00,1296.8,1297.65,1296.25,1296.8,2474
2018-06-08 04:00:00,1296.85,1297.4,1295.7,1296.7,3792
2018-06-08 08:00:00,1296.75,1299.9,1292.05,1298.15,10950
2018-06-08 12:00:00,1298.2,1300.45,1297.1,1298.05,10470
2018-06-08 16:00:00,1298.1,1299.4,1296.95,1298.0,11687
2018-06-08 20:00:00,1298.1,1299.3,1297.85,1298.6,4259
2018-06-11 00:00:00,1299.65,1299.8,1298.25,1299.0,2513
2018-06-11 04:00:00,1299.05,1301.25,1298.7,1298.9,4174
2018-06-11 08:00:00,1298.85,1299.05,1295.25,1295.8,7145
2018-06-11 12:00:00,1295.85,1299.9,1293.95,1298.7,6995
2018-06-11 16:00:00,1298.75,1302.35,1298.0,1300.1,9944
2018-06-11 20:00:00,1300.15,1300.55,1298.85,1300.3,3877
2018-06-12 00:00:00,1300.2,1300.5,1296.55,1298.5,3524
2018-06-12 04:00:00,1298.45,1299.65,1296.2,1296.75,5196
2018-06-12 08:00:00,1296.8,1298.5,1296.45,1297.6,7535
2018-06-12 12:00:00,1297.5,1298.65,1292.65,1295.45,9387
2018-06-12 16:00:00,1295.4,1299.6,1294.85,1296.4,9890
2018-06-12 20:00:00,1296.45,1296.55,1294.3,1295.5,6537
2018-06-13 00:00:00,1295.75,1295.9,1294.65,1294.9,1827
2018-06-13 04:00:00,1294.9,1295.7,1294.5,1294.85,2963
2018-06-13 08:00:00,1294.8,1295.7,1291.45,1294.2,5324
2018-06-13 12:00:00,1294.15,1297.25,1293.5,1296.5,6863
2018-06-13 16:00:00,1296.55,1298.95,1295.8,1298.05,8868
2018-06-13 20:00:00,1298.1,1301.1,1292.5,1299.45,17473
2018-06-14 00:00:00,1299.6,1300.95,1298.35,1298.85,2547
2018-06-14 04:00:00,1298.9,1299.6,1297.4,1299.25,3864
2018-06-14 08:00:00,1299.3,1303.4,1299.15,1302.9,7349
2018-06-14 12:00:00,1302.95,1309.2,1302.45,1307.2,13948
2018-06-14 16:00:00,1307.3,1307.35,1301.55,1303.85,17394
2018-06-14 20:00:00,1303.85,1305.0,1301.6,1302.25,6857
2018-06-15 00:00:00,1302.05,1303.0,1300.5,1301.25,3216
2018-06-15 04:00:00,1301.3,1302.6,1300.05,1301.55,4345
2018-06-15 08:00:00,1301.5,1301.6,1297.25,1299.5,10135
2018-06-15 12:00:00,1299.4,1300.4,1292.15,1292.15,11565
2018-06-15 16:00:00,1292.2,1293.25,1275.55,1276.4,21325
2018-06-15 20:00:00,1276.35,1280.45,1275.25,1280.1,7131
2018-06-18 00:00:00,1277.9,1281.7,1277.85,1281.1,2822
2018-06-18 04:00:00,1281.1,1282.25,1278.9,1280.15,3540
2018-06-18 08:00:00,1280.15,1282.1,1278.35,1281.7,5425
2018-06-18 12:00:00,1281.7,1282.1,1278.75,1279.4,6826
2018-06-18 16:00:00,1279.45,1281.65,1277.65,1278.35,9475
2018-06-18 20:00:00,1278.35,1280.4,1276.85,1278.1,4173
2018-06-19 00:00:00,1278.0,1282.15,1278.0,1281.45,3330
2018-06-19 04:00:00,1281.45,1283.85,1280.6,1282.95,5145
2018-06-19 08:00:00,1282.95,1283.3,1278.9,1280.1,9583
2018-06-19 12:00:00,1280.1,1280.45,1270.15,1273.35,8865
2018-06-19 16:00:00,1273.35,1276.65,1272.55,1275.6,10672
2018-06-19 20:00:00,1275.6,1277.3,1274.05,1274.4,4392
2018-06-20 00:00:00,1274.55,1275.4,1272.85,1273.75,2146
