<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.25	06:00:00	2376.298	2378.731	2369.865	2371.995	8526	0	179
2024.07.25	07:00:00	2372.036	2377.454	2365.752	2374.020	8672	0	179
2024.07.25	08:00:00	2374.073	2377.574	2372.031	2374.705	7757	0	179
2024.07.25	09:00:00	2374.710	2376.183	2370.483	2373.698	6799	0	179
2024.07.25	10:00:00	2373.737	2382.529	2371.919	2381.154	6568	0	179
2024.07.25	11:00:00	2381.193	2381.765	2367.981	2368.560	8332	0	179
2024.07.25	12:00:00	2368.562	2377.310	2362.720	2371.093	18205	0	179
2024.07.25	13:00:00	2371.138	2376.338	2362.037	2364.895	20885	0	179
2024.07.25	14:00:00	2364.826	2368.453	2357.919	2366.775	17578	0	179
2024.07.25	15:00:00	2366.682	2368.388	2362.102	2363.151	10104	0	179
2024.07.25	16:00:00	2363.123	2364.538	2357.472	2362.614	8943	0	179
2024.07.25	17:00:00	2362.662	2365.522	2353.086	2356.060	10172	0	179
2024.07.25	18:00:00	2356.089	2360.275	2354.268	2357.144	6218	0	179
2024.07.25	19:00:00	2357.093	2363.901	2356.062	2362.579	5506	0	179
2024.07.25	20:00:00	2362.608	2365.249	2359.362	2365.062	4925	0	180
2024.07.25	22:00:00	2364.122	2365.455	2362.856	2363.351	2217	0	179
2024.07.25	23:00:00	2363.360	2364.741	2362.024	2363.801	3096	0	179
2024.07.26	00:00:00	2363.849	2365.405	2362.146	2362.727	4234	0	179
2024.07.26	01:00:00	2362.726	2373.950	2355.842	2373.473	10140	0	179
2024.07.26	02:00:00	2373.512	2379.403	2370.489	2374.247	7531	0	179
2024.07.26	03:00:00	2374.250	2378.278	2371.474	2371.779	6447	0	179
2024.07.26	04:00:00	2371.821	2372.868	2369.715	2369.799	4348	0	179
2024.07.26	05:00:00	2369.796	2375.252	2368.149	2374.291	6148	0	179
2024.07.26	06:00:00	2374.321	2374.426	2365.214	2369.529	7180	0	179
2024.07.26	07:00:00	2369.595	2371.934	2367.576	2371.462	5940	0	179
2024.07.26	08:00:00	2371.503	2374.148	2369.344	2372.912	5916	0	179
2024.07.26	09:00:00	2372.870	2374.486	2371.609	2373.732	5233	0	179
2024.07.26	10:00:00	2373.730	2375.331	2372.628	2372.687	4410	0	179
2024.07.26	11:00:00	2372.649	2375.803	2370.223	2373.278	5022	0	179
2024.07.26	12:00:00	2373.274	2379.052	2371.028	2377.456	11515	0	179
2024.07.26	13:00:00	2377.455	2383.224	2373.945	2381.677	12320	0	179
2024.07.26	14:00:00	2381.584	2390.799	2380.096	2381.969	13435	0	179
2024.07.26	15:00:00	2381.914	2386.880	2379.909	2385.133	7846	0	179
2024.07.26	16:00:00	2385.211	2390.391	2384.598	2389.117	6142	0	179
2024.07.26	17:00:00	2389.081	2389.210	2381.125	2383.374	5720	0	179
2024.07.26	18:00:00	2383.370	2386.223	2382.753	2384.311	4448	0	179
2024.07.26	19:00:00	2384.364	2387.038	2382.637	2386.272	4265	0	179
2024.07.26	20:00:00	2386.312	2388.853	2385.432	2387.114	3262	0	180
